Subject,Gender,Education05,Income87,Job05,Income05,Weight05,HeightFeet05,HeightInch05,Imagazine,Inewspaper,Ilibrary,MotherEd,FatherEd,FamilyIncome78,Science,Arith,Word,Parag,Number,Coding,Auto,Math,Mechanic,Elec,AFQT,Esteem81_1,Esteem81_2,Esteem81_3,Esteem81_4,Esteem81_5,Esteem81_6,Esteem81_7,Esteem81_8,Esteem81_9,Esteem81_10,Esteem87_1,Esteem87_2,Esteem87_3,Esteem87_4,Esteem87_5,Esteem87_6,Esteem87_7,Esteem87_8,Esteem87_9,Esteem87_10
2,female,12,16000,4700 TO 4960: Sales and Related Workers,5500,160,5,2,1,1,1,5,8,20000,6,8,15,6,29,52,9,6,10,5,6.841,1,1,4,1,3,3,1,3,3,3,2,1,4,1,2,2,2,3,3,4
6,male,16,18000,"10 TO 430: Executive, Administrative and Managerial Occupations",65000,187,5,5,0,1,1,12,12,35000,23,30,35,15,45,68,21,23,21,19,99.393,2,1,4,2,4,2,2,4,3,4,1,1,4,1,4,1,2,3,2,4
7,male,12,0,"7900 TO 8960: Setters, Operators and Tenders",19000,175,5,9,1,1,1,12,12,8502,14,14,27,8,32,35,13,11,9,11,47.412,2,1,3,2,3,2,2,2,3,3,2,2,4,2,4,2,2,4,3,4
8,female,14,9000,5000 TO 5930: Office and Administrative Support Workers,36000,246,5,3,1,1,1,9,6,7227,18,13,35,12,24,48,11,4,12,12,44.022,1,1,3,2,3,2,3,3,3,3,1,1,3,1,4,2,1,2,2,2
9,male,14,15000,"10 TO 430: Executive, Administrative and Managerial Occupations",65000,180,5,6,1,1,1,12,10,17000,17,21,28,10,40,46,13,13,13,15,59.683,1,1,4,1,1,1,1,4,4,4,1,1,4,1,4,1,1,4,4,4
13,male,16,2200,4200 TO 4250: Cleaning and Building Service Occupations,8000,235,6,0,1,1,1,12,16,20000,16,30,29,13,36,30,21,24,19,16,72.313,1,1,4,1,4,1,1,4,4,4,1,1,4,1,4,1,2,4,4,4
16,female,13,27000,5000 TO 5930: Office and Administrative Support Workers,71000,160,5,4,1,1,1,12,12,48000,13,17,30,12,49,58,11,17,11,10,50.283,2,2,3,2,3,2,3,3,3,3,1,1,4,2,4,2,2,4,3,4
17,male,13,20000,6200 TO 6940: Construction Trade and Extraction Workers,43000,188,5,10,1,1,1,12,15,15000,19,29,33,13,35,58,18,21,19,16,89.669,2,2,3,2,3,2,2,3,3,3,2,2,3,2,3,2,2,3,3,3
18,male,13,28000,4700 TO 4960: Sales and Related Workers,120000,173,5,9,1,1,1,12,16,4510,22,30,35,14,48,61,21,23,16,17,95.977,2,2,3,2,3,2,2,3,3,3,1,1,4,1,4,1,2,4,3,4
20,female,17,27000,"1300 TO 1560: Engineers, Architects, Surveyers, Engineering and Related Technicians",64000,130,5,4,1,1,1,12,18,50000,21,17,28,14,39,54,18,20,20,13,67.021,1,1,3,1,3,2,1,3,3,3,1,1,4,4,4,1,1,3,4,4
